,0
0,1.9937088197402886
1,0.4811369076832307
2,1.896400146822009
3,1.5255542084444642
4,2.0054396694826435
5,1.2930891480046398
6,0.7755379744198307
7,1.002225255182492
8,0.30119462934728175
9,1.2676205494396755
10,1.057875344035142
11,0.5647072086993716
12,0.6050868901725039
13,0.4520017196232544
14,0.8091793648709796
15,0.33481299036974405
16,0.6476395864788174
17,1.2124324546993421
18,0.32178836430422847
19,1.8660307931369289
20,0.5753051001531958
21,0.43175346778641027
22,0.6817593333387947
23,0.34227457511183845
24,1.705707147364376
25,0.4322676565656593
26,0.7259222540887322
27,2.3492696584907207
28,1.8604645199164225
29,0.48944317835548645
